epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,123.506,1.51588,1.202,1.1868,0.84017,0.758,0.82785,0.35395,1.83606,0.87983,1.1569,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907
2,231.84,1.36986,0.76154,1.084,0.87632,0.8161,0.87222,0.39189,1.76336,0.81038,1.15925,0.0197893,0.00659644,0.0197893,0.00659644,0.0197893,0.00659644,0.0197893,0.00659644
3,328.925,1.36693,0.73215,1.09166,0.8793,0.76437,0.84426,0.37106,1.83145,0.87342,1.2117,0.0293934,0.00979782,0.0293934,0.00979782,0.0293934,0.00979782,0.0293934,0.00979782
4,424.97,1.35079,0.70779,1.08834,0.88387,0.82283,0.88295,0.3988,1.74152,0.78075,1.16471,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,520.889,1.30729,0.67007,1.07549,0.89771,0.84806,0.90251,0.42488,1.69907,0.73482,1.14905,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,617.638,1.27144,0.6452,1.06318,0.90271,0.85104,0.90582,0.42306,1.70055,0.72243,1.14627,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,713.694,1.25082,0.62986,1.05519,0.90837,0.85393,0.91259,0.43173,1.67877,0.71066,1.1327,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,810.184,1.24025,0.61834,1.05046,0.91478,0.85769,0.91204,0.43365,1.68184,0.69284,1.12887,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,907.14,1.23377,0.61165,1.04648,0.91877,0.86184,0.91167,0.42775,1.70705,0.69321,1.13818,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1004.04,1.22265,0.60469,1.04104,0.91375,0.86396,0.91914,0.44147,1.66009,0.67732,1.12683,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1101.06,1.21514,0.59647,1.03952,0.91744,0.87055,0.92157,0.44558,1.64601,0.67592,1.12106,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1198.11,1.2033,0.59073,1.03573,0.91765,0.87188,0.92219,0.4444,1.65829,0.6718,1.12644,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1295.15,1.19413,0.58445,1.03331,0.92072,0.86998,0.92124,0.44003,1.66792,0.67015,1.12822,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1391.39,1.19459,0.58207,1.03258,0.91816,0.87733,0.92537,0.44527,1.65543,0.66367,1.12239,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1487.79,1.18593,0.57826,1.0313,0.92806,0.8768,0.93092,0.44943,1.64943,0.65162,1.1228,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1584.46,1.18073,0.57337,1.02833,0.92079,0.88207,0.93025,0.45291,1.62851,0.65317,1.11414,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1681.25,1.17925,0.57206,1.02659,0.92313,0.88273,0.93019,0.45412,1.63492,0.65059,1.1173,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1777.85,1.1754,0.56819,1.02714,0.92498,0.88276,0.93247,0.45421,1.63466,0.64734,1.11825,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1875.03,1.16834,0.56353,1.02258,0.9254,0.88068,0.93154,0.45453,1.63106,0.6464,1.11403,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1972.06,1.1701,0.56525,1.02391,0.92489,0.88449,0.93236,0.45784,1.6234,0.63859,1.11457,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2068.91,1.16071,0.55918,1.01988,0.92365,0.88658,0.93293,0.45596,1.62123,0.63772,1.10998,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2165.47,1.15764,0.55853,1.0188,0.92655,0.88674,0.93452,0.45903,1.62142,0.63685,1.10998,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
